amenities,freq
detector,80373
dryer,53636
wifi,49755
heating,47446
essentials,46822
tv,46411
kitchen,45941
smoke,44204
friendly,44034
air,42837
conditioning,42831
hangers,38003
carbon,36169
monoxide,36169
and,35173
shampoo,33759
hair,33358
laptop,32111
workspace,32111
iron,31811
hot,30198
water,28544
allowed,27889
parking,27754
on,26140
refrigerator,22825
dishes,22168
silverware,22168
free,21577
washer,20615
extinguisher,19720
fire,19720
lock,19557
microwave,19292
basics,19090
cooking,19090
stove,18991
bedroom,18783
door,18755
oven,18560
private,18341
street,18296
maker,17973
coffee,17828
kit,17229
first,17229
aid,17229
bed,16833
linens,16685
check in,15084
missing,13615
en hosting amenity,13615
translation,13615
internet,13432
elevator,13242
entrance,12131
family kid,11923
cable,11701
extra,11589
pillows,11493
blankets,11493
self,10828
term,10335
long,10335
stays,10335
pets,9564
buzzer wireless,9501
intercom,9501
premises,9430
or,8829
dishwasher,8560
luggage,8208
dropoff,8208
room,7331
living,7331
you,6974
host,6974
greets,6974
paid,6149
lockbox,6073
gym,5313
off,4727
bathtub,4620
hour,4256
patio,4105
balcony,4105
backyard,3959
garden,3959
breakfast,3936
card,3782
safety,3782
can,3445
trash,3445
other,3226
live,2682
this,2682
property,2682
shower,2657
crib,2650
gel,2485
smoking,2464
keypad,2400
fireplace,2220
children s,2134
connection,2125
ethernet,2125
shades,2117
room darkening,2117
doorman,2094
indoor,2047
level,1986
home,1986
single,1986
for,1938
bbq,1800
grill,1800
checkout,1736
cleaning,1736
before,1736
guards,1672
tub,1662
n,1612
pack,1612
play travel,1612
accessible,1605
wheelchair,1605
staff,1583
building,1583
to,1554
toys,1512
books,1512
suitable,1497
events,1497
window,1382
cat s,1227
chair,1129
high,1114
dog s,1109
baking,965
sheet,965
pool,896
wide,883
babysitter,833
recommendations,833
smart,802
steps,765
no,765
enter,765
stairs,765
path,715
pocket,641
dinnerware,622
covers,516
outlet,516
well lit,475
game,474
console,474
baby,445
table,350
guests,346
waterfront,338
bath,327
hallways,310
beach,292
guest,278
stair,271
gates,271
flat,240
changing,233
barbecue,230
utensils,230
monitor,150
toilet,150
bread,145
ev,141
charger,141
corner,117
access,108
beachfront,105
lake,99
around,96
space,96
bars,95
grab,95
fixed,95
accessible height,89
pet s,81
bathroom,81
entryway,78
kettle,69
head,52
handheld,52
mattress,43
firm,43
doorway,38
clearance,36
body,28
soap,28
towel,28
disabled,28
comforts,28
full,28
spot,28
paper,28
safe,26
step free,25
ski in ski out,22
bathrobes,15
washer dryer,14
mini,13
bluetooth,11
speaker,11
ground,9
floor,9
record,8
player,8
bottled,8
slippers,7
bar,7
purifier,6
fridge,6
kitchenette,6
with,4
service,4
turndown,4
snacks,2
profiling,1
mobile,1
hoist,1
electric,1
fruit,1
