word,freq
cozy,2070
apartment,1224
spacious,1029
sunny,978
beautiful,659
large,627
park,593
nyc,546
clean,465
bright,461
subway,416
train,409
quiet,378
new,370
great,366
loft,361
jfk,356
heights,349
east,348
studio,345
harlem,338
comfy,307
location,303
shared,302
modern,283
mins,283
huge,273
comfortable,265
big,258
astoria,255
bathroom,249
central,248
queens,246
space,245
house,237
lga,229
bath,228
charming,223
city,217
nice,216
lovely,216
brownstone,211
upper,208
prospect,207
minutes,195
stuy,188
renovated,188
place,186
queen,184
away,178
side,174
bedstuy,173
bk,171
rm,165
ny,156
cute,154
view,150
crown,148
prime,147
york,146
greenpoint,146
furnished,146
west,145
artist,144
stay,135
columbia,133
available,132
master,131
living,131
amazing,129
luxury,129
square,124
times,123
convenient,123
hill,123
b,121
airport,121
small,121
area,120
midtown,119
size,118
full,118
backyard,117
st,116
village,115
single,112
suite,112
next,112
light,111
bronx,106
newly,105
slope,105
duplex,104
garden,103
best,102
female,101
friendly,101
safe,101
affordable,100
filled,100
neighborhood,99
entrance,98
gorgeous,96
two,94
cosy,91
trains,91
balcony,89
clinton,89
floor,88
beds,88
block,87
artsy,86
rent,86
guest,86
peaceful,84
share,84
ridgewood,83
historic,82
r,82
oasis,82
building,80
walk,79
access,78
metro,75
sublet,74
perfect,73
warm,71
like,69
style,68
steps,68
cool,67
brand,66
washington,66
sun,65
awesome,64
budget,64
bdrm,62
getaway,62
university,61
flushing,60
kitchen,60
professionals,60
little,60
rooftop,60
wifi,59
sweet,59
hamilton,59
long,59
king,58
comfort,58
trendy,58
super,57
medical,57
island,57
townhouse,57
hip,56
ac,56
basement,55
simple,55
south,55
downtown,55
free,53
pad,52
twin,52
f,52
uptown,51
sq,50
street,50
pvt,50
station,50
greene,50
airy,49
double,49
fort,48
spot,48
sunnyside,48
entire,47
bd,47
lower,47
couch,46
art,46
ave,46
chic,45
gem,45
th,44
everything,44
guests,44
uws,44
g,44
stop,43
sunlit,43
stylish,43
cheap,43
center,42
views,42
rooms,42
beach,42
price,41
good,41
easy,41
welcome,40
yard,40
family,40
summer,40
parking,40
located,40
time,39
sofa,39
flatbush,39
roof,39
blocks,38
terrace,38
express,38
retreat,38
bay,38
right,38
bklyn,37
traveler,37
sunset,37
river,37
patio,37
male,35
zen,35
travelers,35
quite,35
relaxing,35
term,35
homey,35
lic,34
hostel,34
gardens,33
quaint,33
woodside,33
madison,33
brick,33
laundry,32
sized,32
fully,32
ideal,32
ditmas,32
penthouse,32
bedford,31
tv,31
soho,31
ues,31
casa,30
nd,30
cleaning,30
bunk,30
calm,30
girls,29
condo,29
subways,28
experience,28
town,28
solo,28
lots,28
stadium,28
laguardia,28
bohemian,28
air,28
nook,27
breakfast,27
corner,27
flat,27
ferry,27
mall,27
open,26
enjoy,26
luxurious,26
month,26
serene,26
skyline,26
ensuite,26
artists,25
x,25
sanctuary,25
rental,25
grand,24
inwood,24
live,24
hideaway,24
window,24
fl,24
blue,24
quick,24
females,24
broadway,24
ladies,24
chill,24
yankee,24
wonderful,23
dorm,23
people,23
stops,23
elegant,23
crash,23
victorian,23
high,23
ft,23
classic,23
