word,freq
luxury,738
village,728
manhattan,570
spacious,566
studio,555
nyc,479
midtown,454
central,441
williamsburg,434
modern,410
brooklyn,399
beautiful,398
duplex,375
new,364
large,342
chelsea,329
sonder,277
gym,277
times,273
sunny,259
doorman,257
soho,257
side,256
bright,256
views,252
amazing,239
brownstone,227
upper,226
blueground,226
townhouse,225
garden,223
prime,216
charming,209
huge,206
house,189
penthouse,189
bd,187
suite,186
terrace,185
city,181
view,180
kitchen,177
rooftop,163
sq,156
great,155
gorgeous,151
th,150
stock,148
exchange,148
best,147
york,141
floor,139
stunning,139
bedrooms,135
building,132
renovated,130
tribeca,124
condo,122
uws,122
bdrm,121
street,120
balcony,120
quiet,118
full,114
downtown,114
perfect,112
family,112
two,111
entire,107
luxurious,105
designer,103
slope,102
harlem,102
clean,100
chic,100
oasis,100
hill,100
deck,99
sleeps,98
st,98
subway,97
stylish,96
roof,95
lux,94
backyard,94
pool,93
lower,92
space,88
historic,87
big,86
beds,86
steps,85
gem,84
center,83
lovely,83
patio,83
greenwich,82
ave,80
ny,80
ues,80
artist,79
high,76
b,75
place,75
brand,75
ft,74
time,69
nolita,69
gramercy,68
wyndham,66
union,65
flat,65
walk,63
light,63
heights,60
service,59
hell,59
living,59
guest,59
river,57
mins,56
next,56
flatiron,55
unique,55
friendly,55
laundry,53
bdr,53
classic,53
filled,53
sofa,52
elegant,52
fee,52
newly,52
king,51
club,51
greenpoint,50
wall,48
sun,48
block,48
elevator,48
super,47
bushwick,47
airy,46
away,46
area,46
empire,45
deluxe,45
furnished,45
located,45
greene,45
state,43
spectacular,43
lincoln,43
district,42
comfy,42
trendy,42
water,41
train,40
indoor,40
outdoor,39
bathroom,39
columbus,39
minutes,38
triplex,38
fort,37
baths,37
story,37
dream,37
stay,36
grand,36
skyline,36
yard,36
bk,36
tower,36
avenue,36
prospect,35
fidi,35
top,35
art,35
convenient,35
beach,35
beekman,34
getaway,34
style,34
circle,34
serviced,33
dryer,32
presidential,31
noho,31
comfortable,31
nash,30
lounge,30
double,30
madison,30
rise,29
south,29
jfk,28
neighborhood,28
hudson,28
astoria,27
washer,27
bth,27
sf,27
hidden,27
families,27
hip,27
free,27
clinton,27
sqft,26
cute,26
awesome,26
mid,26
hells,25
cobble,25
sanctuary,25
everything,25
roofdeck,24
artsy,24
nd,24
broadway,24
three,24
queen,24
open,23
sutton,23
peaceful,23
level,23
retreat,23
massive,23
summer,23
blocks,22
experience,22
groups,22
pad,22
townhome,22
crown,22
queens,22
incredible,22
like,22
meatpacking,22
gardens,21
rd,21
charm,21
fully,21
rare,21
little,21
town,21
luxe,21
drenched,21
murray,21
unit,20
urban,20
events,20
breakfast,20
contemporary,20
ppl,20
airbnb,20
bowl,20
columbia,20
rooms,20
fun,19
fantastic,19
upscale,19
quaint,19
true,19
chinatown,19
ideal,19
century,19
parking,19
theater,18
bklyn,18
sleek,18
sophisticated,18
bay,18
magnificent,18
rental,18
centrally,18
financial,18
bldg,18
bohemian,18
star,18
fabulous,17
design,17
pre,17
whole,17
shoots,16
vacation,16
carroll,16
waterfront,16
superbowl,16
residence,16
serene,16
hilton,16
kind,16
floors,16
bluebird,16
amenities,16
corner,16
cool,16
north,16
vibrant,16
guests,16
washington,16
sky,15
highline,15
available,15
stop,15
office,15
live,15
sleep,15
fl,15
roomy,15
boutique,15
trains,15
authentic,15
real,15
stuy,15
bedford,15
industrial,15
sweet,15
metro,15
comfort,15
beauty,15
spot,15
brick,15
zen,14
people,14
nice,14
alcove,14
bedrm,14
warm,14
resort,14
biltmore,14
artistic,14
italy,14
island,14
dumbo,14
boerum,14
sqr,13
photo,13
size,13
bathrooms,13
smart,13
casa,13
wifi,13
superior,13
wburg,13
mansion,13
right,13
tranquil,13
safe,13
escape,12
original,12
bedstuy,12
pied,12
dreamy,12
nomad,12
paradise,12
ultra,12
days,12
san,12
terre,12
yards,12
premium,12
lofty,12
special,12
sundeck,12
pristine,12
small,12
flr,11
junior,11
cosy,11
bridge,11
hideaway,11
sunlit,11
well,11
hall,11
simple,11
day,11
eclectic,11
rent,11
line,11
kips,11
access,11
carlos,11
breathtaking,11
overlooking,11
homey,11
station,11
part,11
ev,10
epic,10
lga,10
event,10
carriage,10
rustic,10
natural,10
sublet,10
delightful,10
gallery,10
box,10
penn,10
affordable,10
ceilings,10
single,10
victorian,10
classy,10
lively,10
tree,10
fireplace,10
years,10
christmas,10
spa,10
spring,10
designed,10
ground,10
landmark,10
airport,10
executive,10
museum,10
dapper,9
wonderful,9
sqf,9
row,9
enjoy,9
priv,9
stately,9
entrance,9
back,9
kids,9
prewar,9
windows,9
svcd,9
eve,9
skylight,9
love,9
long,9
sixth,9
term,9
parlor,9
minute,9
apple,9
lavish,9
lots,9
artful,9
middle,9
xl,9
immaculate,9
price,8
burg,8
welcome,8
fifth,8
pvt,8
hanover,8
regis,8
charmer,8
magical,8
see,8
rockaway,8
tasteful,8
creative,8
beautifully,8
old,8
premier,8
find,8
lyric,8
hot,8
kid,8
carnegie,8
palace,8
good,8
msg,8
boho,8
bowery,8
vintage,7
master,7
nook,7
green,7
splendid,7
appartment,7
quintessential,7
stops,7
extra,7
plus,7
flatbush,7
pk,7
vill,7
wv,7
bbq,7
riverside,7
distance,7
across,7
year,7
fitness,7
weekend,7
hills,7
ditmas,7
rockefeller,7
world,7
front,7
posh,7
calming,7
nest,7
oversized,7
hk,7
adorable,7
mccarren,7
legal,6
marathon,6
pretty,6
mile,6
cheery,6
red,6
lofted,6
fits,6
excellent,6
deco,6
featured,6
lush,6
monthly,6
heaven,6
reviews,6
marks,6
walking,6
welive,6
tub,6
quite,6
iconic,6
artists,6
surf,6
flushing,6
lic,6
ph,6
forest,6
welcoming,6
ultimate,6
westside,6
group,6
holiday,6
staten,6
plush,6
hook,6
lined,6
visit,6
unbeatable,6
exquisite,6
sharp,6
avail,6
notorious,6
film,6
country,6
first,6
equipped,6
friends,6
architect,6
fab,6
make,6
jewel,6
thanksgiving,6
deal,6
converted,6
convenience,6
exposed,5
short,5
basement,5
r,5
perfectly,5
balconies,5
bungalow,5
uptown,5
exclusive,5
grilling,5
church,5
superhost,5
hi,5
extremely,5
parisian,5
border,5
lrg,5
factory,5
tons,5
tranquility,5
john,5
playful,5
bryant,5
built,5
listing,5
romantic,5
elegance,5
midcentury,5
sunset,5
life,5
lights,5
lex,5
express,5
entrances,5
four,5
vip,5
brm,5
tudor,5
pent,5
ac,5
kissena,5
idyllic,5
swimming,5
pleasant,5
sofabed,5
relaxed,5
hr,5
colorful,5
sauna,5
bdrms,5
neo,5
timesq,5
bds,5
rm,5
pl,5
superb,5
calm,5
enormous,5
jacuzzi,5
eastside,5
duplx,5
jr,5
cottage,5
suites,5
panoramic,5
incentra,5
laguardia,5
feet,5
lit,5
mind,5
ceiling,5
apart,5
ready,5
inspired,5
polished,5
cafes,4
sugar,4
cinema,4
baby,4
party,4
university,4
terraces,4
shared,4
thru,4
apartament,4
brilliant,4
alphabet,4
million,4
bnb,4
designers,4
decorated,4
major,4
spanish,4
secret,4
holidays,4
